time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition_text,condition_icon,condition_code,date,open,high,low,close,volume
1749477600,2025-06-09 10:00:00,17.8,64.0,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",6.7,10.8,87,E,1011.0,29.85,0.0,0.0,0.0,83,100,17.8,64.0,17.8,64.0,17.8,64.0,14.8,58.6,0,0,0,0,10.0,6.0,7.7,12.4,4.0,,,0,2025-06-09,269.88,271.72,269.47,271.02,484085
1749481200,2025-06-09 11:00:00,18.4,65.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.6,9.0,109,ESE,1011.0,29.85,0.0,0.0,0.0,81,100,18.4,65.2,18.4,65.2,18.4,65.2,14.8,58.7,0,0,0,0,10.0,6.0,6.4,10.4,4.0,,,0,2025-06-09,271.06,272.18,270.9,271.9234,308791
1749484800,2025-06-09 12:00:00,19.0,66.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",6.9,11.2,143,SE,1011.0,29.86,0.0,0.0,0.0,78,100,19.0,66.2,19.0,66.2,19.0,66.2,15.1,59.3,0,0,0,0,10.0,6.0,8.0,12.9,4.0,,,0,2025-06-09,271.86,272.7,271.65,272.5,287136
1749488400,2025-06-09 13:00:00,19.5,67.1,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",8.5,13.7,161,SSE,1011.0,29.86,0.0,0.0,0.0,76,100,19.5,67.1,19.5,67.1,19.5,67.1,15.3,59.5,0,0,0,0,10.0,6.0,9.8,15.7,4.0,,,0,2025-06-09,272.5,272.83,272.41,272.53,234785
1749492000,2025-06-09 14:00:00,20.0,68.0,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",9.8,15.8,162,SSE,1011.0,29.86,0.0,0.0,0.0,75,100,20.0,68.0,20.0,68.0,20.0,68.0,15.5,59.8,0,0,0,0,10.0,6.0,11.3,18.2,4.0,,,0,2025-06-09,272.58,273.2,272.54,272.845,263065
1749495600,2025-06-09 15:00:00,20.3,68.6,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",9.4,15.1,158,SSE,1012.0,29.87,0.0,0.0,0.0,75,100,20.3,68.6,20.3,68.6,20.3,68.6,16.0,60.8,0,0,0,0,10.0,6.0,10.8,17.4,5.0,,,0,2025-06-09,272.85,273.47,271.97,272.0,965747
1749499200,2025-06-09 16:00:00,20.6,69.1,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",11.0,17.6,165,SSE,1012.0,29.88,0.0,0.0,0.0,76,100,20.6,69.1,20.6,69.1,20.6,69.1,16.2,61.2,0,0,0,0,10.0,6.0,12.6,20.3,5.0,,,0,2025-06-09,272.0,273.4,271.8,272.08,3959531
1749502800,2025-06-09 17:00:00,20.4,68.7,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",11.6,18.7,162,SSE,1012.0,29.88,0.0,0.0,0.0,76,100,20.4,68.7,20.4,68.7,20.4,68.7,16.5,61.7,0,0,0,0,10.0,6.0,13.4,21.5,5.0,,,0,2025-06-09,271.8,274.74,271.8,273.0,159
1749506400,2025-06-09 18:00:00,20.1,68.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",9.4,15.1,158,SSE,1012.0,29.89,0.0,0.0,0.0,80,100,20.1,68.2,20.1,68.2,20.1,68.2,16.6,61.9,0,0,0,0,10.0,6.0,10.8,17.4,5.0,,,0,2025-06-09,273.0,274.74,271.95,272.61,1268211
1749510000,2025-06-09 19:00:00,19.8,67.7,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",9.4,15.1,153,SSE,1012.0,29.89,0.0,0.0,0.0,82,100,19.8,67.7,19.8,67.7,19.8,67.7,16.7,62.0,0,0,0,0,10.0,6.0,10.8,17.4,4.0,,,0,2025-06-09,272.08,274.74,272.0,272.5,1268281
